Vertical,Logic Turover,Logic Tier,Logic Rating,Logic TAT Slab,Logic Product Count,Logic PL,>=3 Multi Angle Img,% Contribution,Slab,Mcat Count Slab,Logic IA,Logic DAU,Logic D rank,Logic A rank,Logic Broad Industry
NSD Inbound Sales,2 Cr-5 Cr,Tier2,0-1,8-10,21-30,HYPERLOCAL,14,46.7,Greater than 25%,Greater than 24,51-75,11-15,1,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,5-7,20,LOCAL ONLY,0,0.0,0%,5-8,76-90,16-20,0,0,Industrial Segments
NSD Inbound Sales,Upto 50 Lakh,Others,0-1,5-7,21-30,LOCAL ONLY,0,0.0,0%,Greater than 24,91-100,26-30,0,0,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Others,0-1,11-15,11,HYPERLOCAL,0,0.0,0%,5-8,76-90,7-10,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier1,3-4,5-7,6-10,LOCAL ONLY,10,100.0,Greater than 25%,17-20,76-90,16-20,0,0,Consumer Focused Segment
NSD Tele,50 Lakh-1 Cr,Others,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,5-8,76-90,11-15,0,1-3,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,1-2,5-7,21-30,LOCAL ONLY,3,12.5,10-15%,Greater than 24,91-100,11-15,Greater than 5,7-10,Other Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Tier2,0-1,5-7,21-30,LOCAL ONLY,13,48.1,Greater than 25%,17-20,51-75,4-6,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,8-10,12-19,LOCAL ONLY,0,0.0,0%,13-16,76-90,11-15,0,0,Industrial Segments
NSD Top Cities - Channel FSF,Upto 50 Lakh,Tier2,0-1,8-10,20,LOCAL ONLY,1,5.0,0.01%-5%,5-8,76-90,7-10,0,1-3,Consumer Focused Segment
NSD Tele,Not Mentioned,Tier2,0-1,5-7,12-19,LOCAL ONLY,2,15.4,15-20%,9-12,91-100,16-20,0,1-3,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Others,0-1,8-10,21-30,LOCAL ONLY,0,0.0,0%,17-20,51-75,16-20,0,0,Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Others,0-1,0-4,Greater than 30,LOCAL ONLY,5,16.1,15-20%,21-24,76-90,26-30,0,7-10,Industrial Segments
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier2,0-1,5-7,12-19,LOCAL ONLY,2,15.4,15-20%,5-8,91-100,16-20,0,1-3,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,8-10,21-30,LOCAL ONLY,15,51.7,Greater than 25%,Greater than 24,76-90,26-30,0,4-6,Other B2B Category
NSD Tele,Upto 50 Lakh,Others,0-1,5-7,11,LOCAL ONLY,0,0.0,0%,0-4,91-100,11-15,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,11,LOCAL ONLY,2,18.2,15-20%,0-4,76-90,26-30,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,11-15,11,LOCAL ONLY,0,0.0,0%,13-16,76-90,26-30,2,7-10,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,5-7,20,HYPERLOCAL,0,0.0,0%,13-16,76-90,16-20,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier2,Greater than Equal to 5,8-10,20,INDIA,9,45.0,Greater than 25%,Greater than 24,76-90,11-15,1,Greater than 10,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,6-10,LOCAL ONLY,2,22.2,20%-25%,13-16,76-90,7-10,0,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,11,HYPERLOCAL,0,0.0,0%,9-12,91-100,16-20,0,4-6,Consumer Focused Segment
NSD Tele,Greater than 5 Cr,Others,0-1,Greater than 15,Greater than 30,LOCAL ONLY,13,31.0,Greater than 25%,Greater than 24,76-90,21-25,0,0,Other B2B Category
NSD Top Cities - Channel FSF,2 Cr-5 Cr,Tier2,0-1,8-10,12-19,LOCAL ONLY,1,7.7,5%-10%,Greater than 24,91-100,11-15,0,0,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Others,0-1,8-10,12-19,LOCAL ONLY,0,0.0,0%,13-16,91-100,7-10,0,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier2,0-1,0-4,11,LOCAL ONLY,0,0.0,0%,5-8,76-90,16-20,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Others,0-1,5-7,20,HYPERLOCAL,0,0.0,0%,13-16,76-90,11-15,0,0,Other B2B Category
NSD Tele,50 Lakh-1 Cr,Others,0-1,8-10,21-30,LOCAL ONLY,6,21.4,20%-25%,Greater than 24,76-90,11-15,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier1,0-1,Greater than 15,6-10,LOCAL ONLY,0,0.0,0%,5-8,91-100,16-20,0,0,Industrial Segments
NSD Top Cities - Channel FSF,50 Lakh-1 Cr,Tier2,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,5-8,76-90,7-10,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,8-10,20,LOCAL ONLY,0,0.0,0%,5-8,76-90,11-15,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,20,LOCAL ONLY,0,0.0,0%,9-12,51-75,1-3,0,7-10,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Not Mentioned,Tier2,Greater than Equal to 5,Greater than 15,21-30,LOCAL ONLY,1,4.2,0.01%-5%,17-20,76-90,7-10,0,1-3,Other Consumer Focused Segment
NSD Top Cities - Channel FSF,2 Cr-5 Cr,Tier1,Greater than Equal to 5,Greater than 15,21-30,LOCAL ONLY,11,47.8,Greater than 25%,Greater than 24,76-90,26-30,Greater than 5,Greater than 10,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier1,0-1,5-7,21-30,INDIA,0,0.0,0%,21-24,51-75,21-25,0,Greater than 10,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Greater than 5 Cr,Tier2,0-1,8-10,11,HYPERLOCAL,4,36.4,Greater than 25%,5-8,91-100,1-3,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,11-15,Greater than 30,HYPERLOCAL,18,23.7,20%-25%,Greater than 24,76-90,21-25,1,1-3,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Others,0-1,8-10,12-19,LOCAL ONLY,5,29.4,Greater than 25%,13-16,76-90,11-15,0,0,Consumer Focused Segment
NSD Inbound Sales,1Cr-2Cr,Others,4-5,5-7,12-19,INDIA,0,0.0,0%,13-16,76-90,21-25,Greater than 5,1-3,Other Consumer Focused Segment
NSD Tele,Greater than 5 Cr,Others,0-1,5-7,6-10,LOCAL ONLY,0,0.0,0%,0-4,91-100,7-10,0,0,Other Consumer Focused Segment
NSD Inbound Sales,1Cr-2Cr,Tier1,0-1,8-10,11,LOCAL ONLY,3,27.3,Greater than 25%,0-4,91-100,4-6,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,Greater than Equal to 5,5-7,20,INDIA,1,5.0,0.01%-5%,13-16,91-100,26-30,3,4-6,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Tier2,0-1,11-15,12-19,HYPERLOCAL,0,0.0,0%,13-16,91-100,11-15,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,5-7,20,LOCAL ONLY,4,20.0,15-20%,Greater than 24,76-90,21-25,0,0,Other Consumer Focused Segment
NSD Top Cities - Channel FSF,2 Cr-5 Cr,Others,0-1,11-15,6-10,LOCAL ONLY,0,0.0,0%,9-12,91-100,21-25,0,1-3,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Others,0-1,11-15,Greater than 30,LOCAL ONLY,0,0.0,0%,13-16,0-50,11-15,0,1-3,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,8-10,11,LOCAL ONLY,0,0.0,0%,21-24,76-90,26-30,4,7-10,Industrial Segments
NSD Tele,50 Lakh-1 Cr,Tier2,0-1,8-10,21-30,HYPERLOCAL,0,0.0,0%,0-4,76-90,0,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Others,0-1,8-10,12-19,HYPERLOCAL,0,0.0,0%,Greater than 24,76-90,26-30,0,1-3,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,5-7,12-19,LOCAL ONLY,11,57.9,Greater than 25%,17-20,91-100,21-25,0,0,Other Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Others,0-1,Greater than 15,11,INDIA,0,0.0,0%,5-8,91-100,21-25,0,1-3,Industrial Segments
NSD Top Cities - Channel FSF,50 Lakh-1 Cr,Tier2,0-1,11-15,12-19,LOCAL ONLY,2,11.1,10-15%,17-20,91-100,16-20,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,8-10,21-30,HYPERLOCAL,0,0.0,0%,21-24,76-90,21-25,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,Greater than 15,Greater than 30,HYPERLOCAL,0,0.0,0%,Greater than 24,51-75,11-15,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,8-10,11,LOCAL ONLY,4,36.4,Greater than 25%,13-16,76-90,26-30,4,4-6,Industrial Segments
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier2,0-1,5-7,11,LOCAL ONLY,1,9.1,5%-10%,17-20,91-100,11-15,0,7-10,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,5-7,21-30,HYPERLOCAL,0,0.0,0%,Greater than 24,51-75,4-6,0,0,Other B2B Category
NSD Tele,1Cr-2Cr,Others,0-1,0-4,11,LOCAL ONLY,0,0.0,0%,9-12,76-90,21-25,0,0,Other Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Tier1,0-1,5-7,11,LOCAL ONLY,3,27.3,Greater than 25%,5-8,76-90,11-15,0,1-3,Other B2B Category
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,11-15,21-30,LOCAL ONLY,20,76.9,Greater than 25%,5-8,0-50,4-6,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,8-10,12-19,LOCAL ONLY,0,0.0,0%,21-24,91-100,4-6,0,0,Other Consumer Focused Segment
NSD Tele,50 Lakh-1 Cr,Others,0-1,0-4,11,LOCAL ONLY,0,0.0,0%,9-12,91-100,21-25,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,2 Cr-5 Cr,Tier1,0-1,11-15,21-30,INDIA,0,0.0,0%,Greater than 24,76-90,21-25,4,Greater than 10,Other B2B Category
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier2,1-2,11-15,12-19,INDIA,1,7.7,5%-10%,9-12,91-100,16-20,5,1-3,Industrial Segments
NSD Emerging Markets - Channel FSF,Not Mentioned,Tier2,0-1,5-7,20,LOCAL ONLY,0,0.0,0%,13-16,91-100,1-3,1,1-3,Other B2B Category
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,5-7,12-19,HYPERLOCAL,0,0.0,0%,21-24,76-90,11-15,0,1-3,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Others,0-1,8-10,11,HYPERLOCAL,0,0.0,0%,5-8,51-75,7-10,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,11-15,11,LOCAL ONLY,0,0.0,0%,9-12,76-90,26-30,1,1-3,Other B2B Category
NSD Top Cities - Channel FSF,Upto 50 Lakh,Tier2,0-1,11-15,11,LOCAL ONLY,0,0.0,0%,9-12,76-90,11-15,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,5-7,12-19,HYPERLOCAL,2,16.7,15-20%,Greater than 24,76-90,21-25,1,Greater than 10,Other B2B Category
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier1,0-1,8-10,21-30,LOCAL ONLY,4,17.4,15-20%,13-16,0-50,16-20,0,0,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,2 Cr-5 Cr,Tier1,0-1,5-7,Greater than 30,LOCAL ONLY,0,0.0,0%,17-20,76-90,7-10,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,11,LOCAL ONLY,0,0.0,0%,5-8,76-90,7-10,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,11-15,Greater than 30,HYPERLOCAL,7,10.9,10-15%,Greater than 24,51-75,21-25,Greater than 5,Greater than 10,Other Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Tier1,0-1,0-4,12-19,LOCAL ONLY,0,0.0,0%,9-12,76-90,11-15,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,Greater than 15,21-30,HYPERLOCAL,0,0.0,0%,21-24,51-75,4-6,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier1,0-1,5-7,20,HYPERLOCAL,0,0.0,0%,Greater than 24,91-100,11-15,1,7-10,Other B2B Category
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier2,0-1,11-15,12-19,LOCAL ONLY,0,0.0,0%,5-8,76-90,7-10,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,12-19,LOCAL ONLY,1,6.3,5%-10%,Greater than 24,76-90,11-15,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,11-15,11,LOCAL ONLY,0,0.0,0%,0-4,91-100,11-15,0,1-3,Other Consumer Focused Segment
NSD Tele,Greater than 5 Cr,Tier1,0-1,8-10,20,HYPERLOCAL,0,0.0,0%,9-12,76-90,4-6,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,Greater than 5 Cr,Tier1,0-1,8-10,12-19,HYPERLOCAL,0,0.0,0%,13-16,76-90,1-3,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,Greater than 15,12-19,LOCAL ONLY,1,5.3,5%-10%,9-12,76-90,16-20,2,7-10,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,11-15,11,LOCAL ONLY,0,0.0,0%,13-16,91-100,7-10,1,1-3,Industrial Segments
NSD Inbound Sales,50 Lakh-1 Cr,Others,0-1,8-10,6-10,LOCAL ONLY,0,0.0,0%,9-12,76-90,11-15,1,1-3,Industrial Segments
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,20,LOCAL ONLY,6,30.0,Greater than 25%,Greater than 24,91-100,16-20,0,0,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Others,4-5,5-7,21-30,INDIA,0,0.0,0%,5-8,91-100,16-20,0,1-3,Other B2B Category
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Others,0-1,11-15,11,LOCAL ONLY,0,0.0,0%,9-12,91-100,11-15,0,0,Industrial Segments
NSD Emerging Markets - Channel FSF,50 Lakh-1 Cr,Others,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,5-8,51-75,7-10,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,4-5,Greater than 15,Greater than 30,INDIA,26,63.4,Greater than 25%,Greater than 24,51-75,21-25,Greater than 5,7-10,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,2 Cr-5 Cr,Tier1,0-1,8-10,Greater than 30,LOCAL ONLY,0,0.0,0%,Greater than 24,76-90,11-15,0,0,Industrial Segments
NSD Inbound Sales,Greater than 5 Cr,Tier2,0-1,8-10,21-30,LOCAL ONLY,24,96.0,Greater than 25%,17-20,76-90,11-15,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier2,0-1,Greater than 15,Greater than 30,LOCAL ONLY,0,0.0,0%,Greater than 24,51-75,7-10,0,4-6,Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Others,0-1,11-15,21-30,LOCAL ONLY,0,0.0,0%,13-16,76-90,16-20,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier2,0-1,Greater than 15,11,HYPERLOCAL,0,0.0,0%,5-8,76-90,4-6,0,0,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Greater than 5 Cr,Tier1,Greater than Equal to 5,5-7,11,LOCAL ONLY,1,9.1,5%-10%,13-16,76-90,16-20,1,1-3,Industrial Segments
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Others,0-1,5-7,12-19,HYPERLOCAL,0,0.0,0%,0-4,91-100,7-10,0,0,Other Consumer Focused Segment
NSD Tele,Upto 50 Lakh,Tier2,0-1,5-7,21-30,LOCAL ONLY,0,0.0,0%,Greater than 24,51-75,7-10,0,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier2,0-1,8-10,11,LOCAL ONLY,0,0.0,0%,5-8,91-100,16-20,0,0,Other Consumer Focused Segment
NSD Top Cities - Channel FSF,Not Mentioned,Tier1,0-1,8-10,20,HYPERLOCAL,0,0.0,0%,17-20,51-75,11-15,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,Greater than 30,LOCAL ONLY,0,0.0,0%,21-24,76-90,16-20,0,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,8-10,21-30,LOCAL ONLY,0,0.0,0%,Greater than 24,91-100,7-10,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier2,0-1,8-10,20,LOCAL ONLY,0,0.0,0%,9-12,91-100,4-6,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Others,0-1,5-7,Greater than 30,LOCAL ONLY,0,0.0,0%,9-12,76-90,21-25,1,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier2,0-1,5-7,21-30,HYPERLOCAL,0,0.0,0%,21-24,76-90,1-3,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,4-5,0-4,0-5,INDIA,1,33.3,Greater than 25%,9-12,91-100,7-10,3,4-6,Other B2B Category
NSD Tele,Not Mentioned,Tier1,0-1,11-15,21-30,HYPERLOCAL,0,0.0,0%,Greater than 24,91-100,16-20,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier1,0-1,8-10,Greater than 30,LOCAL ONLY,0,0.0,0%,Greater than 24,91-100,11-15,0,0,Consumer Focused Segment
NSD Tele,50 Lakh-1 Cr,Tier2,0-1,5-7,11,LOCAL ONLY,0,0.0,0%,0-4,76-90,16-20,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier2,0-1,5-7,21-30,LOCAL ONLY,6,20.7,20%-25%,21-24,76-90,26-30,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,8-10,21-30,HYPERLOCAL,0,0.0,0%,5-8,76-90,4-6,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,5-7,21-30,HYPERLOCAL,0,0.0,0%,Greater than 24,51-75,16-20,3,Greater than 10,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,5-7,20,LOCAL ONLY,0,0.0,0%,17-20,76-90,21-25,2,7-10,Industrial Segments
NSD Tele,Upto 50 Lakh,Tier2,0-1,11-15,11,HYPERLOCAL,0,0.0,0%,0-4,76-90,1-3,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier1,0-1,5-7,11,LOCAL ONLY,0,0.0,0%,13-16,76-90,21-25,0,1-3,Other Consumer Focused Segment
NSD Tele,50 Lakh-1 Cr,Others,0-1,5-7,12-19,INDIA,1,5.9,5%-10%,Greater than 24,91-100,26-30,Greater than 5,Greater than 10,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,Greater than 15,20,LOCAL ONLY,0,0.0,0%,Greater than 24,76-90,21-25,0,Greater than 10,Other B2B Category
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier1,0-1,5-7,0-5,HYPERLOCAL,0,0.0,0%,0-4,91-100,7-10,0,0,Consumer Focused Segment
NSD Emerging Markets - Channel FSF,2 Cr-5 Cr,Others,0-1,5-7,Greater than 30,LOCAL ONLY,0,0.0,0%,13-16,76-90,11-15,0,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Others,0-1,8-10,11,LOCAL ONLY,2,18.2,15-20%,0-4,91-100,21-25,1,0,Other Consumer Focused Segment
NSD Emerging Markets - Channel FSF,Upto 50 Lakh,Tier1,0-1,11-15,0-5,LOCAL ONLY,5,100.0,Greater than 25%,5-8,91-100,7-10,2,1-3,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,1-2,5-7,12-19,INDIA,0,0.0,0%,9-12,76-90,21-25,0,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier1,0-1,8-10,21-30,LOCAL ONLY,13,43.3,Greater than 25%,21-24,0-50,11-15,0,0,Industrial Segments
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,17-20,91-100,26-30,0,0,Consumer Focused Segment
NSD Top Cities - Channel FSF,Upto 50 Lakh,Tier2,0-1,8-10,21-30,LOCAL ONLY,0,0.0,0%,5-8,76-90,21-25,0,0,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier2,0-1,11-15,11,HYPERLOCAL,0,0.0,0%,9-12,76-90,1-3,0,0,Other Consumer Focused Segment
NSD Emerging Markets - Channel FSF,50 Lakh-1 Cr,Tier2,4-5,5-7,11,LOCAL ONLY,1,9.1,5%-10%,5-8,76-90,7-10,3,1-3,Other Consumer Focused Segment
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier2,0-1,5-7,11,HYPERLOCAL,1,9.1,5%-10%,9-12,91-100,16-20,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,0-1,5-7,0-5,HYPERLOCAL,1,20.0,15-20%,0-4,76-90,1-3,0,0,Consumer Focused Segment
NSD Tele,50 Lakh-1 Cr,Others,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,9-12,91-100,11-15,0,0,Other B2B Category
NSD Top Cities - Inhouse FSF,1Cr-2Cr,Tier2,0-1,5-7,Greater than 30,LOCAL ONLY,0,0.0,0%,Greater than 24,51-75,16-20,0,1-3,Industrial Segments
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier2,0-1,5-7,12-19,LOCAL ONLY,0,0.0,0%,Greater than 24,76-90,11-15,Greater than 5,Greater than 10,Consumer Focused Segment
NSD Top Cities - Inhouse FSF,Upto 50 Lakh,Tier1,1-2,8-10,21-30,LOCAL ONLY,0,0.0,0%,Greater than 24,91-100,26-30,2,7-10,Other B2B Category
NSD Tele,Upto 50 Lakh,Tier1,0-1,8-10,11,LOCAL ONLY,0,0.0,0%,0-4,91-100,16-20,0,0,Industrial Segments
NSD Top Cities - Channel FSF,2 Cr-5 Cr,Tier2,0-1,8-10,Greater than 30,HYPERLOCAL,43,93.5,Greater than 25%,Greater than 24,76-90,16-20,0,1-3,Other B2B Category
NSD Top Cities - Inhouse FSF,Not Mentioned,Tier1,1-2,8-10,Greater than 30,HYPERLOCAL,0,0.0,0%,Greater than 24,51-75,1-3,0,0,Other B2B Category
Other Vertical,50 Lakh-1 Cr,Tier1,0-1,5-7,11,INDIA,2,18.2,15-20%,9-12,76-90,26-30,0,1-3,Industrial Segments
NSD Tele,1Cr-2Cr,Others,0-1,5-7,11,INDIA,0,0.0,0%,5-8,91-100,4-6,0,1-3,Industrial Segments
NSD Top Cities - Inhouse FSF,50 Lakh-1 Cr,Tier1,0-1,8-10,11,INDIA,2,18.2,15-20%,0-4,0-50,16-20,0,1-3,Other Consumer Focused Segment
NSD Inbound Sales,Not Mentioned,Tier2,0-1,5-7,11,HYPERLOCAL,4,36.4,Greater than 25%,9-12,91-100,4-6,0,0,Consumer Focused Segment
